concept_id,priority,search_term,initial_category,candidate_knowledge_point,domain_seed,subdomain_seed,why_dynamic,default_start_sec,default_end_sec,notes
vdcr_concept_0002,A,Karman Vortex Street,physics_physical_systems,Vortex Shedding / Karman Vortex Street,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Vortex Shedding / Karman Vortex Street, not merely an object, scene, or static result.",0,30,vdcr_direct_answer; concept_zh=周期涡脱落/卡门涡街; concept_type=自然动态机制; priority=A
vdcr_concept_0002,A,Karman Vortex Street video,physics_physical_systems,Vortex Shedding / Karman Vortex Street,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Vortex Shedding / Karman Vortex Street, not merely an object, scene, or static result.",0,30,vdcr_direct_answer; concept_zh=周期涡脱落/卡门涡街; concept_type=自然动态机制; priority=A
vdcr_concept_0002,A,Vortex Shedding,physics_physical_systems,Vortex Shedding / Karman Vortex Street,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Vortex Shedding / Karman Vortex Street, not merely an object, scene, or static result.",0,30,vdcr_direct_answer; concept_zh=周期涡脱落/卡门涡街; concept_type=自然动态机制; priority=A
vdcr_concept_0002,A,Vortex Shedding / Karman Vortex Street,physics_physical_systems,Vortex Shedding / Karman Vortex Street,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Vortex Shedding / Karman Vortex Street, not merely an object, scene, or static result.",0,30,vdcr_direct_answer; concept_zh=周期涡脱落/卡门涡街; concept_type=自然动态机制; priority=A
vdcr_concept_0002,A,Vortex Shedding / Karman Vortex Street demonstration,physics_physical_systems,Vortex Shedding / Karman Vortex Street,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Vortex Shedding / Karman Vortex Street, not merely an object, scene, or static result.",0,30,vdcr_direct_answer; concept_zh=周期涡脱落/卡门涡街; concept_type=自然动态机制; priority=A
vdcr_concept_0002,A,Vortex Shedding / Karman Vortex Street slow motion,physics_physical_systems,Vortex Shedding / Karman Vortex Street,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Vortex Shedding / Karman Vortex Street, not merely an object, scene, or static result.",0,30,vdcr_direct_answer; concept_zh=周期涡脱落/卡门涡街; concept_type=自然动态机制; priority=A
vdcr_concept_0002,A,Vortex Shedding / Karman Vortex Street video,physics_physical_systems,Vortex Shedding / Karman Vortex Street,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Vortex Shedding / Karman Vortex Street, not merely an object, scene, or static result.",0,30,vdcr_direct_answer; concept_zh=周期涡脱落/卡门涡街; concept_type=自然动态机制; priority=A
vdcr_concept_0002,A,Vortex Shedding video,physics_physical_systems,Vortex Shedding / Karman Vortex Street,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Vortex Shedding / Karman Vortex Street, not merely an object, scene, or static result.",0,30,vdcr_direct_answer; concept_zh=周期涡脱落/卡门涡街; concept_type=自然动态机制; priority=A
vdcr_concept_0002,A,周期涡脱落/卡门涡街 Vortex Shedding / Karman Vortex Street,physics_physical_systems,Vortex Shedding / Karman Vortex Street,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Vortex Shedding / Karman Vortex Street, not merely an object, scene, or static result.",0,30,vdcr_direct_answer; concept_zh=周期涡脱落/卡门涡街; concept_type=自然动态机制; priority=A
vdcr_concept_0003,A,Cavitation Bubble Growth and Collapse,physics_physical_systems,Cavitation Bubble Growth and Collapse,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Cavitation Bubble Growth and Collapse, not merely an object, scene, or static result.",0,30,vdcr_direct_answer; concept_zh=空化泡生长与塌缩; concept_type=自然动态机制; priority=A
vdcr_concept_0003,A,Cavitation Bubble Growth and Collapse demonstration,physics_physical_systems,Cavitation Bubble Growth and Collapse,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Cavitation Bubble Growth and Collapse, not merely an object, scene, or static result.",0,30,vdcr_direct_answer; concept_zh=空化泡生长与塌缩; concept_type=自然动态机制; priority=A
vdcr_concept_0003,A,Cavitation Bubble Growth and Collapse slow motion,physics_physical_systems,Cavitation Bubble Growth and Collapse,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Cavitation Bubble Growth and Collapse, not merely an object, scene, or static result.",0,30,vdcr_direct_answer; concept_zh=空化泡生长与塌缩; concept_type=自然动态机制; priority=A
vdcr_concept_0003,A,Cavitation Bubble Growth and Collapse video,physics_physical_systems,Cavitation Bubble Growth and Collapse,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Cavitation Bubble Growth and Collapse, not merely an object, scene, or static result.",0,30,vdcr_direct_answer; concept_zh=空化泡生长与塌缩; concept_type=自然动态机制; priority=A
vdcr_concept_0003,A,空化泡生长与塌缩 Cavitation Bubble Growth and Collapse,physics_physical_systems,Cavitation Bubble Growth and Collapse,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Cavitation Bubble Growth and Collapse, not merely an object, scene, or static result.",0,30,vdcr_direct_answer; concept_zh=空化泡生长与塌缩; concept_type=自然动态机制; priority=A
vdcr_concept_0004,A,Kelvin-Helmholtz Instability,physics_physical_systems,Kelvin-Helmholtz Instability,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Kelvin-Helmholtz Instability, not merely an object, scene, or static result.",0,30,vdcr_direct_answer; concept_zh=开尔文-亥姆霍兹不稳定性; concept_type=自然动态机制; priority=A
vdcr_concept_0004,A,Kelvin-Helmholtz Instability demonstration,physics_physical_systems,Kelvin-Helmholtz Instability,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Kelvin-Helmholtz Instability, not merely an object, scene, or static result.",0,30,vdcr_direct_answer; concept_zh=开尔文-亥姆霍兹不稳定性; concept_type=自然动态机制; priority=A
vdcr_concept_0004,A,Kelvin-Helmholtz Instability slow motion,physics_physical_systems,Kelvin-Helmholtz Instability,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Kelvin-Helmholtz Instability, not merely an object, scene, or static result.",0,30,vdcr_direct_answer; concept_zh=开尔文-亥姆霍兹不稳定性; concept_type=自然动态机制; priority=A
vdcr_concept_0004,A,Kelvin-Helmholtz Instability video,physics_physical_systems,Kelvin-Helmholtz Instability,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Kelvin-Helmholtz Instability, not merely an object, scene, or static result.",0,30,vdcr_direct_answer; concept_zh=开尔文-亥姆霍兹不稳定性; concept_type=自然动态机制; priority=A
vdcr_concept_0004,A,开尔文-亥姆霍兹不稳定性 Kelvin-Helmholtz Instability,physics_physical_systems,Kelvin-Helmholtz Instability,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Kelvin-Helmholtz Instability, not merely an object, scene, or static result.",0,30,vdcr_direct_answer; concept_zh=开尔文-亥姆霍兹不稳定性; concept_type=自然动态机制; priority=A
