concept_id,priority,pool_tier,search_term,initial_category,candidate_knowledge_point,domain_seed,subdomain_seed,why_dynamic,default_start_sec,default_end_sec,notes
vdcr_concept_0008,A,main_pool,Hydraulic Jump,physics_physical_systems,Hydraulic Jump,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Hydraulic Jump, not merely an object, scene, static result, or generic action.",0,30,vdcr_direct_answer; concept_zh=水跃; concept_type=自然动态机制; priority=A; pool_tier=main_pool
vdcr_concept_0008,A,main_pool,Hydraulic Jump experiment,physics_physical_systems,Hydraulic Jump,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Hydraulic Jump, not merely an object, scene, static result, or generic action.",0,30,vdcr_direct_answer; concept_zh=水跃; concept_type=自然动态机制; priority=A; pool_tier=main_pool
vdcr_concept_0008,A,main_pool,Hydraulic Jump demonstration,physics_physical_systems,Hydraulic Jump,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Hydraulic Jump, not merely an object, scene, static result, or generic action.",0,30,vdcr_direct_answer; concept_zh=水跃; concept_type=自然动态机制; priority=A; pool_tier=main_pool
vdcr_concept_0008,A,main_pool,Hydraulic Jump video,physics_physical_systems,Hydraulic Jump,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Hydraulic Jump, not merely an object, scene, static result, or generic action.",0,30,vdcr_direct_answer; concept_zh=水跃; concept_type=自然动态机制; priority=A; pool_tier=main_pool
vdcr_concept_0008,A,main_pool,水跃 Hydraulic Jump,physics_physical_systems,Hydraulic Jump,physics_physical_systems,physics_family_01,"Candidate must show the temporal sequence that instantiates Hydraulic Jump, not merely an object, scene, static result, or generic action.",0,30,vdcr_direct_answer; concept_zh=水跃; concept_type=自然动态机制; priority=A; pool_tier=main_pool
vdcr_concept_0019,A,main_pool,Faraday Waves,physics_physical_systems,Faraday Waves,physics_physical_systems,physics_family_03,"Candidate must show the temporal sequence that instantiates Faraday Waves, not merely an object, scene, static result, or generic action.",0,30,vdcr_direct_answer; concept_zh=法拉第波; concept_type=自然动态机制; priority=A; pool_tier=main_pool
vdcr_concept_0019,A,main_pool,Faraday Waves experiment,physics_physical_systems,Faraday Waves,physics_physical_systems,physics_family_03,"Candidate must show the temporal sequence that instantiates Faraday Waves, not merely an object, scene, static result, or generic action.",0,30,vdcr_direct_answer; concept_zh=法拉第波; concept_type=自然动态机制; priority=A; pool_tier=main_pool
vdcr_concept_0019,A,main_pool,Faraday Waves demonstration,physics_physical_systems,Faraday Waves,physics_physical_systems,physics_family_03,"Candidate must show the temporal sequence that instantiates Faraday Waves, not merely an object, scene, static result, or generic action.",0,30,vdcr_direct_answer; concept_zh=法拉第波; concept_type=自然动态机制; priority=A; pool_tier=main_pool
vdcr_concept_0019,A,main_pool,Faraday Waves video,physics_physical_systems,Faraday Waves,physics_physical_systems,physics_family_03,"Candidate must show the temporal sequence that instantiates Faraday Waves, not merely an object, scene, static result, or generic action.",0,30,vdcr_direct_answer; concept_zh=法拉第波; concept_type=自然动态机制; priority=A; pool_tier=main_pool
vdcr_concept_0019,A,main_pool,法拉第波 Faraday Waves,physics_physical_systems,Faraday Waves,physics_physical_systems,physics_family_03,"Candidate must show the temporal sequence that instantiates Faraday Waves, not merely an object, scene, static result, or generic action.",0,30,vdcr_direct_answer; concept_zh=法拉第波; concept_type=自然动态机制; priority=A; pool_tier=main_pool
vdcr_concept_0028,A,main_pool,Brazil Nut Effect,physics_physical_systems,Brazil Nut Effect,physics_physical_systems,physics_family_04,"Candidate must show the temporal sequence that instantiates Brazil Nut Effect, not merely an object, scene, static result, or generic action.",0,30,vdcr_direct_answer; concept_zh=巴西坚果效应; concept_type=自然动态机制; priority=A; pool_tier=main_pool
vdcr_concept_0028,A,main_pool,Brazil Nut Effect experiment,physics_physical_systems,Brazil Nut Effect,physics_physical_systems,physics_family_04,"Candidate must show the temporal sequence that instantiates Brazil Nut Effect, not merely an object, scene, static result, or generic action.",0,30,vdcr_direct_answer; concept_zh=巴西坚果效应; concept_type=自然动态机制; priority=A; pool_tier=main_pool
vdcr_concept_0028,A,main_pool,Brazil Nut Effect demonstration,physics_physical_systems,Brazil Nut Effect,physics_physical_systems,physics_family_04,"Candidate must show the temporal sequence that instantiates Brazil Nut Effect, not merely an object, scene, static result, or generic action.",0,30,vdcr_direct_answer; concept_zh=巴西坚果效应; concept_type=自然动态机制; priority=A; pool_tier=main_pool
vdcr_concept_0028,A,main_pool,Brazil Nut Effect video,physics_physical_systems,Brazil Nut Effect,physics_physical_systems,physics_family_04,"Candidate must show the temporal sequence that instantiates Brazil Nut Effect, not merely an object, scene, static result, or generic action.",0,30,vdcr_direct_answer; concept_zh=巴西坚果效应; concept_type=自然动态机制; priority=A; pool_tier=main_pool
vdcr_concept_0028,A,main_pool,巴西坚果效应 Brazil Nut Effect,physics_physical_systems,Brazil Nut Effect,physics_physical_systems,physics_family_04,"Candidate must show the temporal sequence that instantiates Brazil Nut Effect, not merely an object, scene, static result, or generic action.",0,30,vdcr_direct_answer; concept_zh=巴西坚果效应; concept_type=自然动态机制; priority=A; pool_tier=main_pool
vdcr_concept_0032,A,main_pool,Crown Splash,physics_physical_systems,Crown Splash,physics_physical_systems,physics_family_05,"Candidate must show the temporal sequence that instantiates Crown Splash, not merely an object, scene, static result, or generic action.",0,30,vdcr_direct_answer; concept_zh=冠状飞溅; concept_type=自然动态机制; priority=A; pool_tier=main_pool
vdcr_concept_0032,A,main_pool,Crown Splash experiment,physics_physical_systems,Crown Splash,physics_physical_systems,physics_family_05,"Candidate must show the temporal sequence that instantiates Crown Splash, not merely an object, scene, static result, or generic action.",0,30,vdcr_direct_answer; concept_zh=冠状飞溅; concept_type=自然动态机制; priority=A; pool_tier=main_pool
